category,name,price,stock,reorder_level,description,status
Wearables,Samsung Galaxy Watch Ultra,2799.00,6,3,"Titanium case, 10ATM water resistance, dual-frequency GPS.",active
Wearables,Garmin Forerunner 275,1799.00,11,3,Multi-band GPS running watch with an AMOLED display.,active
Wearables,Xiaomi Smart Band 10,199.00,120,15,"1.72-inch AMOLED, 21-day battery, 150+ sport modes.",active
Wearables,Huawei Band 10,249.00,64,8,Slim tracker with SpO2 and sleep tracking.,active
Audio,AirPods Pro 3,1199.00,40,5,"Active noise cancellation, live translation, heart-rate sensing.",active
Audio,AirPods 4 (ANC),899.00,45,5,Open-fit earbuds with active noise cancellation.,active
Audio,AirPods Max (USB-C),2599.00,9,3,Over-ear headphones with computational audio.,active
Audio,Samsung Galaxy Buds 4 Pro,999.00,33,4,Adaptive ANC with 24-bit Hi-Fi audio.,active
Audio,Sony WH-1000XM6,1899.00,14,3,"Industry-leading noise cancellation, 30-hour battery.",active
Audio,Sony WF-1000XM5,1299.00,17,3,Compact ANC earbuds with LDAC support.,active
Audio,Bose QuietComfort Ultra Earbuds,1499.00,10,3,Immersive Audio with CustomTune calibration.,active
Audio,JBL Tune 770NC,449.00,38,4,"Adaptive noise cancelling over-ear headphones, 70-hour battery.",active
Accessories,Anker 140W GaN Charger,329.00,55,6,"Four ports, PD 3.1, charges a laptop and two phones at once.",active
Accessories,Anker 20000mAh Power Bank,249.00,72,9,140W output with a built-in display.,active
Accessories,USB-C to USB-C Cable 2m (240W),69.90,180,22,Braided cable rated for 240W and USB 3.2 data speeds.,active
Accessories,MagSafe Charger 25W,219.00,48,6,Faster wireless charging for iPhone 16 and 17.,active
Accessories,Apple Pencil Pro,629.00,20,3,"Squeeze, barrel roll and haptic feedback.",active
Accessories,Samsung 45W Travel Adapter,119.00,90,11,Super Fast Charging 2.0 with a USB-C cable included.,active
Accessories,Spigen Rugged Armor Case,89.90,140,17,Shock-absorbent TPU case with a carbon fibre texture.,active
Accessories,Tempered Glass Screen Protector,39.90,300,37,9H hardness with an oleophobic coating. Two per pack.,active
Accessories,65W GaN Dual-Port Charger,129.00,4,3,Compact charger with one USB-C and one USB-A port.,active
Accessories,Samsung 256GB microSD Evo Select,89.00,110,13,U3 V30 card rated for 4K video.,active
